"year","sex","age","deaths"
2022,"male",70,1097.19108822459
2022,"male",75,1170.20380421401
2022,"male",80,1190.20728804673
2022,"male",85,2244.39088603097
2023,"male",0,248.592325070429
2023,"male",1,49.0095548755352
2023,"male",5,22.0042899441178
2023,"male",10,42.0081898933159
2023,"male",15,183.035684535162
2023,"male",20,235.045824403077
2023,"male",25,313.061034204949
2023,"male",30,261.050894337034
2023,"male",35,292.056939258291
2023,"male",40,374.072929050003
2023,"male",45,467.091063813774
2023,"male",50,572.111538547064
2023,"male",55,678.132208277813
2023,"male",60,817.15931292474
2023,"male",65,838.163407871397
2023,"male",70,907.176862696131
2023,"male",75,1040.2027973583
2023,"male",80,1034.20162737354
2023,"male",85,1884.36737521445
2024,"male",0,198.566092285069
2024,"male",1,49.0094018071425
2024,"male",5,24.0046049667637
2024,"male",10,38.0072911973758
2024,"male",15,186.035688492418
2024,"male",20,242.046433414867
2024,"male",25,241.046241541252
2024,"male",30,290.055643348394
2024,"male",35,304.058329579006
2024,"male",40,378.072528226528
2024,"male",45,462.0886456102
2024,"male",50,563.108024845331
2024,"male",55,671.128747195767
2024,"male",60,840.161173836728
2024,"male",65,914.175372484249
2024,"male",70,958.183814923316
2024,"male",75,1041.19974043337
2024,"male",80,1074.20607226267
2024,"male",85,1950.37415354955
1990,"female",0,635.500127617634
1990,"female",1,227.563596933923
1990,"female",5,83.2908464122347
1990,"female",10,51.4580428912648
1990,"female",15,70.6286863213438
1990,"female",20,82.0494951733058
1990,"female",25,69.049226247491
1990,"female",30,87.4397437179652
1990,"female",35,85.4585327914883
1990,"female",40,90.8083109845849
1990,"female",45,122.086729212609
1990,"female",50,152.963152279135
1990,"female",55,198.769302932925
1990,"female",60,232.668955623324
1990,"female",65,273.34590336284
1990,"female",70,247.780959783993
1990,"female",75,375.430265233567
1990,"female",80,471.19423588668
1990,"female",85,888.621486809203
1991,"female",0,564.405726500349
1991,"female",1,163.46157722344
1991,"female",5,53.3072948344475
1991,"female",10,53.3072948344475
1991,"female",15,55.3188908659361
1991,"female",20,78.4522452280548
1991,"female",25,77.4464472123106
1991,"female",30,59.3420829289133
1991,"female",35,75.434851180822
1991,"female",40,83.4812353067763
1991,"female",45,97.5624075271964
1991,"female",50,141.43173467966
1991,"female",55,195.712786913704
1991,"female",60,266.065675101038
1991,"female",65,276.594454329681
1991,"female",70,297.247475828329
1991,"female",75,331.972340501261
1991,"female",80,445.568520974722
1991,"female",85,847.234117205425
1992,"female",0,557.95935637507
1992,"female",1,171.813793359527
1992,"female",5,49.2331922492213
1992,"female",10,38.1808429687839
1992,"female",15,68.3236137336132
1992,"female",20,67.3188547081189
1992,"female",25,78.3712039885563
1992,"female",30,69.3283727591075
1992,"female",35,119.566324033823
1992,"female",40,84.0908877744258
1992,"female",45,126.856807677142
1992,"female",50,173.823311410516
1992,"female",55,198.942287047874
1992,"female",60,262.242105654015
1992,"female",65,298.413430571811
1992,"female",70,316.611364548408
1992,"female",75,341.154649199165
1992,"female",80,440.129475155629
1992,"female",85,899.739737380619
1993,"female",0,544.494281301364
1993,"female",1,152.486120690166
1993,"female",5,48.296732665561
1993,"female",10,37.2287314297033
1993,"female",15,55.3400061792886
1993,"female",20,61.3770977624838
1993,"female",25,65.4018254846139
1993,"female",30,75.4636447899391
1993,"female",35,81.1992586411394
1993,"female",40,114.315361456905
1993,"female",45,125.772741316565
1993,"female",50,136.840742552423
1993,"female",55,216.329115064492
1993,"female",60,306.399966103082
1993,"female",65,320.972035839874
1993,"female",70,356.259895282524
1993,"female",75,354.713734653182
1993,"female",80,431.652048198451
1993,"female",85,910.024341584261
1994,"female",0,542.904850489864
1994,"female",1,153.660147967553
1994,"female",5,46.1984758595256
1994,"female",10,40.1725877039353
1994,"female",15,52.2243640151159
1994,"female",20,70.3020284818868
1994,"female",25,74.3192872522804
1994,"female",30,85.3667488708626
1994,"female",35,68.0242427590737
1994,"female",40,89.3840076412561
1994,"female",45,140.604056963774
1994,"female",50,158.681721430545
1994,"female",55,198.433351699497
1994,"female",60,269.269781800913
1994,"female",65,339.458366098254
1994,"female",70,369.145860242891
1994,"female",75,305.311666549909
1994,"female",80,449.932982284076
1994,"female",85,969.16367835744
1995,"female",0,509.458822910514
1995,"female",1,155.316683157225
1995,"female",5,37.3163459533592
1995,"female",10,42.3590954065158
1995,"female",15,58.4958936566171
1995,"female",20,48.1968729266116
1995,"female",25,59.5044435472484
1995,"female",30,66.5642927816677
1995,"female",35,94.803689719345
1995,"female",40,89.7609402661883
1995,"female",45,125.060186438285
1995,"female",50,178.513330641745
1995,"female",55,228.940825173312
1995,"female",60,282.393969376772
1995,"female",65,354.001011611597
1995,"female",70,413.035105209851
1995,"female",75,361.060860846016
1995,"female",80,418.548204612002
1995,"female",85,1077.13128319426
1996,"female",0,411.748386669046
1996,"female",1,127.898918113706
1996,"female",5,57.1619774817529
1996,"female",10,40.7071869714309
1996,"female",15,50.1420855103095
1996,"female",20,61.1733443225776
1996,"female",25,64.1818694531962
1996,"female",30,61.1733443225776
1996,"female",35,77.2188116858767
1996,"female",40,98.2784876002067
1996,"female",45,101.287012730825
1996,"female",50,171.485932445259
1996,"female",55,219.622334535156
1996,"female",60,287.815570829177
1996,"female",65,338.960498049692
1996,"female",70,411.165101184538
1996,"female",75,385.091216719177
1996,"female",80,446.264561041755
1996,"female",85,1176.33332607186
1997,"female",0,420.925721842627
1997,"female",1,118.260083755786
1997,"female",5,46.1013885827639
1997,"female",10,35.0771434868856
1997,"female",15,55.1212254793917
1997,"female",20,62.1366541767688
1997,"female",25,55.1212254793917
1997,"female",30,67.1476746748953
1997,"female",35,71.1564910733965
1997,"female",40,89.196164866652
1997,"female",45,125.275512453163
1997,"female",50,175.385717434428
1997,"female",55,226.498126515318
1997,"female",60,294.648005289839
1997,"female",65,353.778047167732
1997,"female",70,444.978620233635
1997,"female",75,388.855190654618
1997,"female",80,451.994048931012
1997,"female",85,1065.3429579017
1998,"female",0,436.058646173852
1998,"female",1,99.2118224222439
1998,"female",5,39.0834451966415
1998,"female",10,47.1005621600552
1998,"female",15,43.0920036783484
1998,"female",20,63.1347960868825
1998,"female",25,64.1369357073092
1998,"female",30,68.145494189016
1998,"female",35,83.1775884954166
